country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",06-04-2025,16.554731,80.64911,NO2,18,27,23
India,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",06-04-2025,17.72,83.3,SO2,7,12,9
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",06-04-2025,27.103358,93.679645,PM2.5,NA,NA,NA
India,Arunachal Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",06-04-2025,27.103358,93.679645,OZONE,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",06-04-2025,26.071318,91.87488,PM10,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",06-04-2025,26.071318,91.87488,NO2,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",06-04-2025,26.071318,91.87488,CO,43,64,56
India,Assam,Guwahati,"IITG, Guwahati - PCBA",06-04-2025,26.2028636,91.70046436,PM2.5,51,308,126
India,Assam,Guwahati,"IITG, Guwahati - PCBA",06-04-2025,26.2028636,91.70046436,PM10,60,288,153
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",06-04-2025,16.536107,80.594233,NH3,3,7,4
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",06-04-2025,16.536107,80.594233,SO2,5,8,7
India,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",06-04-2025,16.536107,80.594233,OZONE,1,26,2
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",06-04-2025,16.486692,80.699436,NO2,26,127,62
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",06-04-2025,16.486692,80.699436,NH3,4,7,5
India,Andhra Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",06-04-2025,16.486692,80.699436,SO2,17,18,18
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",06-04-2025,26.10887,91.589544,SO2,7,14,11
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",06-04-2025,26.1875,91.744194,PM2.5,48,309,156
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",06-04-2025,26.1875,91.744194,PM10,47,139,97
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",06-04-2025,26.1875,91.744194,CO,28,98,35
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",06-04-2025,26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",06-04-2025,26.181742,91.78063,CO,30,104,37
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",06-04-2025,26.349082,92.68449,PM10,59,149,91
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",06-04-2025,16.5150833,80.5181667,PM10,27,100,43
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",06-04-2025,14.675886,77.593027,CO,3,14,11
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",06-04-2025,16.509717,80.612222,CO,30,44,31
India,Andhra Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",06-04-2025,16.509717,80.612222,OZONE,6,26,7
India,Andhra Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",06-04-2025,13.67,79.35,PM10,22,89,53
India,Assam,Guwahati,"IITG, Guwahati - PCBA",06-04-2025,26.2028636,91.70046436,CO,8,26,14
India,Assam,Guwahati,"IITG, Guwahati - PCBA",06-04-2025,26.2028636,91.70046436,OZONE,1,87,18
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",06-04-2025,11.654054,92.734055,PM2.5,2,11,4
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",06-04-2025,11.654054,92.734055,SO2,2,42,24
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025,26.80365,84.51954,NH3,3,5,5
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025,26.80365,84.51954,SO2,7,25,18
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025,26.80365,84.51954,CO,30,82,76
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",06-04-2025,25.251013,86.989001,PM10,40,103,62
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",06-04-2025,25.56752,83.966379,CO,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",06-04-2025,25.7808257,84.7446768,NO2,4,81,22
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",06-04-2025,25.7808257,84.7446768,CO,6,29,14
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",06-04-2025,24.762518,84.982348,NO2,17,25,22
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",06-04-2025,25.697189,85.2459,PM2.5,186,330,280
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",06-04-2025,25.204762,85.51496,CO,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",06-04-2025,25.56752,83.966379,PM10,77,189,128
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",06-04-2025,26.446912,91.439057,PM2.5,82,280,175
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",06-04-2025,26.446912,91.439057,NO2,1,6,3
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",06-04-2025,25.265194,87.012947,NH3,3,8,6
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",06-04-2025,25.265194,87.012947,SO2,44,110,81
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",06-04-2025,26.146529,87.454184,NH3,10,12,11
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",06-04-2025,26.146529,87.454184,OZONE,9,11,10
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",06-04-2025,25.560083,87.553265,NO2,13,15,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA",06-04-2025,24.82827,92.79525,NH3,1,2,1
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",06-04-2025,25.859655,85.77944,PM2.5,12,257,80
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",06-04-2025,25.859655,85.77944,PM10,72,240,128
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",06-04-2025,25.859655,85.77944,NH3,2,2,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",06-04-2025,24.952822,84.002396,CO,46,55,51
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",06-04-2025,26.2271665,84.3570427,PM10,29,198,109
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",06-04-2025,26.2271665,84.3570427,NO2,4,12,7
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",06-04-2025,26.2271665,84.3570427,NH3,1,3,1
India,Bihar,Patna,"Samanpura, Patna - BSPCB",06-04-2025,25.596727,85.085624,SO2,4,9,6
